"index_code","industry_name","level","industry_code","is_pub","parent_code"
"857821.SI","国有大型银行Ⅲ","L3","480201","1","480200"
"857831.SI","股份制银行Ⅲ","L3","480301","1","480300"
"857841.SI","城商行Ⅲ","L3","480401","1","480400"
"857851.SI","农商行Ⅲ","L3","480501","1","480500"
"857861.SI","其他银行Ⅲ","L3","480601","0","480600"
"851931.SI","证券Ⅲ","L3","490101","1","490100"
"851941.SI","保险Ⅲ","L3","490201","1","490200"
"851922.SI","金融控股","L3","490302","1","490300"
"851923.SI","期货","L3","490303","0","490300"
"851924.SI","信托","L3","490304","0","490300"
"851925.SI","租赁","L3","490305","0","490300"
"851926.SI","金融信息服务","L3","490306","0","490300"
"851927.SI","资产管理","L3","490307","1","490300"
"851928.SI","其他多元金融","L3","490308","0","490300"
"852311.SI","综合Ⅲ","L3","510101","1","510100"
"857111.SI","水泥制造","L3","610101","1","610100"
"857112.SI","水泥制品","L3","610102","1","610100"
"857121.SI","玻璃制造","L3","610201","1","610200"
"857122.SI","玻纤制造","L3","610202","1","610200"
"850615.SI","耐火材料","L3","610301","1","610300"
"850616.SI","管材","L3","610302","1","610300"
"850614.SI","其他建材","L3","610303","1","610300"
"850617.SI","防水材料","L3","610304","0","610300"
"850618.SI","涂料","L3","610305","0","610300"
"850623.SI","房屋建设Ⅲ","L3","620101","1","620100"
"857221.SI","装修装饰Ⅲ","L3","620201","1","620200"
"857236.SI","基建市政工程","L3","620306","1","620300"
"857251.SI","园林工程","L3","620307","1","620300"
"857241.SI","钢结构","L3","620401","1","620400"
"857242.SI","化学工程","L3","620402","1","620400"
"857243.SI","国际工程","L3","620403","1","620400"
"857244.SI","其他专业工程","L3","620404","1","620400"
"857261.SI","工程咨询服务Ⅲ","L3","620601","1","620600"
"850741.SI","电机Ⅲ","L3","630101","1","630100"
"857331.SI","综合电力设备商","L3","630301","0","630300"
"857334.SI","火电设备","L3","630304","1","630300"
"857336.SI","其他电源设备Ⅲ","L3","630306","1","630300"
"857351.SI","硅料硅片","L3","630501","0","630500"
"857352.SI","光伏电池组件","L3","630502","1","630500"
"857353.SI","逆变器","L3","630503","0","630500"
"857354.SI","光伏辅材","L3","630504","1","630500"
"857355.SI","光伏加工设备","L3","630505","1","630500"
"857361.SI","风电整机","L3","630601","0","630600"
"857362.SI","风电零部件","L3","630602","1","630600"
"857371.SI","锂电池","L3","630701","1","630700"
"857372.SI","电池化学品","L3","630702","1","630700"
"857373.SI","锂电专用设备","L3","630703","1","630700"
"857374.SI","燃料电池","L3","630704","0","630700"
"857375.SI","蓄电池及其他电池","L3","630705","1","630700"
"857381.SI","输变电设备","L3","630801","1","630800"
"857382.SI","配电设备","L3","630802","1","630800"
"857321.SI","电网自动化设备","L3","630803","1","630800"
"857323.SI","电工仪器仪表","L3","630804","1","630800"
"857344.SI","线缆部件及其他","L3","630805","1","630800"
"850711.SI","机床工具","L3","640101","1","640100"
"850713.SI","磨具磨料","L3","640103","1","640100"
"850715.SI","制冷空调设备","L3","640105","1","640100"
"850716.SI","其他通用设备","L3","640106","1","640100"
"850731.SI","仪器仪表","L3","640107","1","640100"
"850751.SI","金属制品","L3","640108","1","640100"
"850725.SI","能源及重型设备","L3","640203","1","640200"
"850728.SI","楼宇设备","L3","640204","1","640200"
"850721.SI","纺织服装设备","L3","640206","1","640200"
"850723.SI","农用机械","L3","640207","0","640200"
"850726.SI","印刷包装机械","L3","640208","1","640200"
"850727.SI","其他专用设备","L3","640209","1","640200"
"850936.SI","轨交设备Ⅲ","L3","640501","1","640500"
"850771.SI","工程机械整机","L3","640601","1","640600"
"850772.SI","工程机械器件","L3","640602","1","640600"
"850781.SI","机器人","L3","640701","1","640700"
"850782.SI","工控设备","L3","640702","1","640700"
"850783.SI","激光设备","L3","640703","1","640700"
"850784.SI","其他自动化设备","L3","640704","1","640700"
"857411.SI","航天装备Ⅲ","L3","650101","1","650100"
"857421.SI","航空装备Ⅲ","L3","650201","1","650200"
"857431.SI","地面兵装Ⅲ","L3","650301","1","650300"
"850935.SI","航海装备Ⅲ","L3","650401","1","650400"
"857451.SI","军工电子Ⅲ","L3","650501","1","650500"
"850702.SI","安防设备","L3","710102","1","710100"
"850703.SI","其他计算机设备","L3","710103","1","710100"
"852226.SI","IT服务Ⅲ","L3","710301","1","710300"
"851041.SI","垂直应用软件","L3","710401","1","710400"
"851042.SI","横向通用软件","L3","710402","1","710400"
"857641.SI","游戏Ⅲ","L3","720401","1","720400"
"857651.SI","营销代理","L3","720501","1","720500"
"857652.SI","广告媒体","L3","720502","0","720500"
"857661.SI","影视动漫制作","L3","720601","1","720600"
"857662.SI","院线","L3","720602","0","720600"
"857671.SI","视频媒体","L3","720701","0","720700"
"857672.SI","音频媒体","L3","720702","0","720700"
"857673.SI","图片媒体","L3","720703","0","720700"
"857674.SI","门户网站","L3","720704","1","720700"
"857675.SI","文字媒体","L3","720705","0","720700"
"857676.SI","其他数字媒体","L3","720706","0","720700"
"857681.SI","社交Ⅲ","L3","720801","0","720800"
"857691.SI","教育出版","L3","720901","1","720900"
"857692.SI","大众出版","L3","720902","1","720900"
"857693.SI","其他出版","L3","720903","0","720900"
"859951.SI","电视广播Ⅲ","L3","721001","1","721000"
"852212.SI","电信运营商","L3","730102","0","730100"
"852213.SI","通信工程及服务","L3","730103","1","730100"
"852214.SI","通信应用增值服务","L3","730104","1","730100"
"851024.SI","通信网络设备及器件","L3","730204","1","730200"
"851025.SI","通信线缆及配套","L3","730205","1","730200"
"851026.SI","通信终端及配件","L3","730206","1","730200"
"851027.SI","其他通信设备","L3","730207","1","730200"
"859511.SI","动力煤","L3","740101","1","740100"
"859512.SI","焦煤","L3","740102","1","740100"
"859521.SI","焦炭Ⅲ","L3","740201","1","740200"
"859611.SI","油气开采Ⅲ","L3","750101","0","750100"
"859621.SI","油田服务","L3","750201","1","750200"
"859622.SI","油气及炼化工程","L3","750202","1","750200"
"859631.SI","炼油化工","L3","750301","1","750300"
"859632.SI","油品石化贸易","L3","750302","1","750300"
"859633.SI","其他石化","L3","750303","1","750300"
"859711.SI","大气治理","L3","760101","1","760100"
"859712.SI","水务及水治理","L3","760102","1","760100"
"859713.SI","固废治理","L3","760103","1","760100"
"859714.SI","综合环境治理","L3","760104","1","760100"
"859721.SI","环保设备Ⅲ","L3","760201","1","760200"
"859811.SI","生活用纸","L3","770101","1","770100"
"859812.SI","洗护用品","L3","770102","0","770100"
"859821.SI","化妆品制造及其他","L3","770201","1","770200"
"859822.SI","品牌化妆品","L3","770202","1","770200"
"859831.SI","医美耗材","L3","770301","0","770300"
"859832.SI","医美服务","L3","770302","0","770300"
